Strategy,Timeframe,avg_ret,avg_sh,avg_mdd,avg_wr,avg_pf,tickers
S12_BB_Rev,1m+4h,1.8475714285714286,0.08756428571428572,-2.413,60.364285714285714,1.403857142857143,14
S04_SuperTrend,1m+4h,1.7562000000000002,0.38398,-0.8706999999999999,55.220000000000006,13.072700000000001,10
S08_RSI_Rev,1m+4h,1.7392142857142858,0.15065714285714285,-2.2408571428571427,60.51428571428572,1.5834285714285714,14
S19_Monday,15m,1.7182857142857144,0.06190714285714286,-4.354214285714286,47.771428571428565,1.2459285714285715,14
S14_Donchian,1m+4h,1.7094999999999998,0.0065071428571428554,-2.6571428571428575,42.471428571428575,1.6027142857142855,14
S22_VolBreak,1m+4h,1.558857142857143,0.03295714285714286,-1.1620714285714286,43.357142857142854,1.779642857142857,14
S08_RSI_Rev,15m,1.4401428571428572,0.07410714285714284,-4.241857142857143,50.32142857142857,1.4,14
S16_SMA_Rev,5m,1.4204999999999999,0.23621666666666666,-3.2104166666666667,58.99166666666667,3.9815,12
S20_InsideBar,15m,1.4152857142857143,0.03265714285714286,-10.494142857142858,50.67857142857143,1.1693571428571428,14
S22_VolBreak,15m,1.0609285714285714,0.018978571428571425,-5.251142857142858,42.721428571428575,1.1007857142857143,14
S15_ZScore,5m,0.9662857142857141,0.002635714285714285,-14.68807142857143,63.07857142857143,1.0488571428571427,14
S23_EMA_Ribbon,15m,0.9498571428571428,-0.011714285714285714,-7.511785714285714,47.721428571428575,1.252,14
S23_EMA_Ribbon,1m+4h,0.7541428571428571,-0.008685714285714286,-3.2073571428571426,30.97142857142857,1.3678571428571427,14
S19_Monday,5m,0.6805,0.006171428571428572,-4.146357142857143,39.378571428571426,1.1023571428571428,14
S13_ATR_Break,1m+4h,0.569,0.04412142857142857,-1.231142857142857,43.49285714285714,1.4292857142857145,14
S21_Engulfing,1m+4h,0.5635,0.1496357142857143,-1.3294285714285714,51.82142857142857,8.268285714285714,14
S02_EMA20_50,15m,0.49649999999999983,0.04600714285714285,-6.096214285714285,46.24285714285714,1.6082142857142858,14
S24_CHoCH,1m+4h,0.38899999999999996,0.002814285714285716,-4.248642857142857,45.771428571428565,1.0883571428571428,14
S11_BB_Break,1m+4h,0.3701428571428572,-0.0302,-2.404071428571428,36.41428571428572,1.1510714285714285,14
S03_GoldenCross,1m+4h,0.3055714285714286,-0.020578571428571422,-1.2117142857142855,46.99285714285714,2.061,14
S19_Monday,1m+4h,0.2666666666666668,-0.9869666666666667,-0.47333333333333333,34.36666666666667,1.516,3
S16_SMA_Rev,15m,0.26092307692307687,4.101392307692307,-2.8153076923076927,51.56153846153846,8.751692307692307,13
S04_SuperTrend,15m,0.10371428571428572,-0.08469285714285714,-4.502714285714285,45.30714285714286,0.9880000000000001,14
S13_ATR_Break,15m,-0.23499999999999993,-0.04205714285714286,-5.659428571428571,40.535714285714285,0.9653571428571429,14
S01_EMA9_21,15m,-0.25978571428571423,0.007749999999999997,-11.132571428571428,44.885714285714286,1.093357142857143,14
S14_Donchian,15m,-0.462,-0.000271428571428573,-8.613857142857142,48.84285714285714,1.0526428571428572,14
S20_InsideBar,1m+4h,-0.5792142857142857,-0.012507142857142859,-2.2592857142857143,46.885714285714286,1.0414285714285714,14
S03_GoldenCross,15m,-1.2425714285714287,-0.06558571428571427,-2.8379285714285714,45.464285714285715,8.023214285714285,14
S21_Engulfing,15m,-1.752357142857143,-0.007671428571428572,-11.852642857142857,47.771428571428565,1.0211428571428571,14
