Ticker,Name,Market,Timeframe,Strategy,Trades,WinRate%,TotalRet%,AvgRet%,ProfitFactor,MDD%,Sharpe,_tr
TSLA,테슬라,US,1m+4h,S20_InsideBar,84,44.0,-1.57,-0.0187,0.783,-3.124,-0.0884,-1.57
TSLA,테슬라,US,1m+4h,S21_Engulfing,99,48.5,-2.443,-0.0247,0.795,-4.31,-0.0665,-2.443
TSLA,테슬라,US,1m+4h,S22_VolBreak,31,32.3,-2.325,-0.075,0.352,-3.019,-0.3292,-2.325
TSLA,테슬라,US,1m+4h,S23_EMA_Ribbon,24,12.5,-5.116,-0.2132,0.263,-4.5,-0.4562,-5.116
TSLA,테슬라,US,1m+4h,S24_CHoCH,67,47.8,-5.774,-0.0862,0.57,-8.275,-0.164,-5.774
TSLA,테슬라,US,1m+4h,S25_PinBar,113,47.8,-2.378,-0.021,0.822,-4.615,-0.0678,-2.378
SOXX,반도체ETF,US,15m,FVG+OB,154,51.3,12.829,0.0833,1.32,-8.115,0.1018,12.829
SOXX,반도체ETF,US,15m,FVG+OB★,28,60.7,6.673,0.2383,2.598,-1.876,0.3925,6.673
SOXX,반도체ETF,US,15m,S01_EMA9_21,23,52.2,-2.32,-0.1009,0.703,-6.384,-0.1288,-2.32
SOXX,반도체ETF,US,15m,S02_EMA20_50,10,50.0,-0.432,-0.0432,0.909,-3.282,-0.0418,-0.432
SOXX,반도체ETF,US,15m,S03_GoldenCross,5,80.0,2.846,0.5691,2.657,0.0,0.3098,2.846
SOXX,반도체ETF,US,15m,S04_SuperTrend,8,37.5,-1.294,-0.1617,0.722,-2.563,-0.1305,-1.294
SOXX,반도체ETF,US,15m,S05_HullMA,46,52.2,8.253,0.1794,1.721,-2.867,0.2017,8.253
SOXX,반도체ETF,US,15m,S06_Ichimoku,30,53.3,13.767,0.4589,3.093,-4.327,0.3152,13.767
SOXX,반도체ETF,US,15m,S07_RSI_Trend,63,46.0,1.932,0.0307,1.083,-9.013,0.0242,1.932
SOXX,반도체ETF,US,15m,S08_RSI_Rev,10,70.0,2.994,0.2994,1.833,-2.464,0.2116,2.994
SOXX,반도체ETF,US,15m,S09_MACD,48,52.1,11.079,0.2308,2.003,-2.634,0.2706,11.079
SOXX,반도체ETF,US,15m,S10_MACDHist,48,52.1,11.079,0.2308,2.003,-2.634,0.2706,11.079
SOXX,반도체ETF,US,15m,S11_BB_Break,44,47.7,-0.201,-0.0046,0.98,-3.061,-0.0077,-0.201
SOXX,반도체ETF,US,15m,S12_BB_Rev,15,46.7,0.546,0.0364,1.058,-4.256,0.0208,0.546
SOXX,반도체ETF,US,15m,S13_ATR_Break,37,35.1,-4.653,-0.1257,0.374,-4.658,-0.3957,-4.653
SOXX,반도체ETF,US,15m,S14_Donchian,17,52.9,-0.754,-0.0444,0.909,-5.982,-0.0378,-0.754
SOXX,반도체ETF,US,15m,S15_ZScore,30,46.7,-3.564,-0.1188,0.828,-10.071,-0.0696,-3.564
SOXX,반도체ETF,US,15m,S16_SMA_Rev,5,60.0,-1.099,-0.2199,0.502,-1.167,-0.2935,-1.099
